carat,color,clar,cert,price,lnprice
0.3,1,5,1,1302,7.17
0.3,2,4,1,1510,7.32
0.3,4,2,1,1510,7.32
0.3,4,4,1,1260,7.14
0.31,1,4,1,1641,7.4
0.31,2,4,1,1555,7.35
0.31,3,4,1,1427,7.26
0.31,4,3,1,1427,7.26
0.31,5,5,1,1126,7.03
0.31,6,4,1,1126,7.03
0.32,3,4,1,1468,7.29
0.32,4,5,1,1202,7.09
0.33,2,5,1,1327,7.19
0.33,6,5,1,1098,7
0.34,2,4,1,1693,7.43
0.34,3,4,1,1551,7.35
0.34,4,4,1,1410,7.25
0.34,4,5,1,1269,7.15
0.34,5,4,1,1316,7.18
0.34,5,5,1,1222,7.11
0.35,2,4,1,1738,7.46
0.35,3,4,1,1593,7.37
0.35,4,4,1,1447,7.28
0.35,5,5,1,1255,7.13
0.36,3,4,1,1635,7.4
0.36,5,3,1,1485,7.3
0.37,3,5,1,1420,7.26
0.37,5,4,1,1420,7.26
0.4,3,4,1,1911,7.56
0.4,5,4,1,1525,7.33
0.41,3,4,1,1956,7.58
0.43,5,3,1,1747,7.47
0.45,6,4,1,1572,7.36
0.46,2,3,1,2942,7.99
0.48,4,3,1,2532,7.84
0.5,2,4,1,3501,8.16
0.5,2,4,1,3501,8.16
0.5,3,3,1,3501,8.16
0.5,3,4,1,3293,8.1
0.5,4,4,1,3016,8.01
0.51,3,3,1,3567,8.18
0.51,4,4,1,3205,8.07
0.52,1,5,1,3490,8.16
0.52,2,4,1,3635,8.2
0.52,3,3,1,3635,8.2
0.52,3,4,1,3418,8.14
0.53,1,4,1,3921,8.27
0.53,3,3,1,3701,8.22
0.53,3,4,1,3480,8.15
0.53,4,3,1,3407,8.13
0.54,2,4,1,3767,8.23
0.54,3,2,1,4066,8.31
0.55,2,3,1,4138,8.33
0.55,3,4,1,3605,8.19
0.55,4,3,1,3529,8.17
0.56,3,4,1,3667,8.21
0.56,6,3,1,2892,7.97
0.57,4,3,1,3651,8.2
0.59,4,3,1,3773,8.24
0.6,3,4,1,4291,8.36
0.62,2,2,1,5845,8.67
0.63,4,3,1,4401,8.39
0.64,4,2,1,4759,8.47
0.66,5,2,1,4300,8.37
0.7,3,4,1,5510,8.61
0.7,4,4,1,5122,8.54
0.7,5,3,1,5122,8.54
0.7,6,5,1,3861,8.26
0.71,3,3,1,5881,8.68
0.71,3,4,1,5586,8.63
0.71,3,5,1,5193,8.56
0.71,5,3,1,5193,8.56
0.72,3,5,1,5263,8.57
0.8,6,3,1,5441,8.6
0.82,6,5,1,4948,8.51
0.84,5,5,1,5705,8.65
0.85,3,5,1,6805,8.83
0.86,5,3,1,6882,8.84
0.89,5,4,1,6709,8.81
0.9,6,3,1,6682,8.81
0.5,2,4,1,3501,8.16
0.5,4,2,1,3432,8.14
0.51,3,2,1,3851,8.26
0.55,5,1,1,3605,8.19
0.56,2,4,1,3900,8.27
0.57,5,2,1,3415,8.14
0.6,5,1,1,4291,8.36
0.63,2,1,1,6512,8.78
0.7,2,4,1,5800,8.67
0.7,3,2,1,6285,8.75
0.7,3,5,1,5122,8.54
0.7,3,5,1,5122,8.54
0.7,4,4,1,5122,8.54
0.7,5,3,1,5122,8.54
0.71,1,4,1,6372,8.76
0.71,2,4,1,5881,8.68
0.71,5,3,1,5193,8.56
0.72,2,4,1,5961,8.69
0.72,5,2,1,5662,8.64
0.73,2,5,1,5738,8.65
0.73,5,4,1,5030,8.52
0.73,5,4,1,5030,8.52
0.73,6,2,1,4727,8.46
0.73,6,4,1,4221,8.35
0.74,4,3,1,5815,8.67
0.74,5,5,1,4585,8.43
0.75,1,3,1,7368,8.9
0.75,6,3,1,4667,8.45
0.75,6,4,1,4355,8.38
0.76,1,1,1,9885,9.2
0.77,3,2,1,6919,8.84
0.78,5,4,1,5386,8.59
0.8,6,5,1,4832,8.48
0.83,2,5,1,7156,8.88
0.9,3,4,1,7680,8.95
1,1,2,1,15582,9.65
1,1,4,1,11419,9.34
1,2,4,1,10588,9.27
1,2,5,1,9757,9.19
1,3,1,1,13913,9.54
1,3,3,1,10588,9.27
1,3,4,1,10713,9.28
1,3,5,1,9480,9.16
1,4,3,1,9896,9.2
1,4,4,1,9619,9.17
1,4,5,1,9169,9.12
1,4,5,1,9203,9.13
1,5,5,1,8788,9.08
1,6,4,1,8095,9
1,6,5,1,7818,8.96
1.01,1,2,1,16008,9.68
1.01,2,4,1,10692,9.28
1.01,2,5,1,9853,9.2
1.01,3,4,1,10272,9.24
1.01,3,5,1,9573,9.17
1.01,5,4,1,9153,9.12
1.01,5,5,1,8873,9.09
1.01,6,2,1,8873,9.09
1.01,6,3,1,8455,9.04
1.01,6,5,1,7895,8.97
1.02,3,4,1,10372,9.25
1.02,3,5,1,9666,9.18
1.02,4,3,1,10090,9.22
1.03,2,4,1,10900,9.3
1.04,3,4,1,10571,9.27
1.04,6,1,1,9563,9.17
1.05,6,3,1,8781,9.08
1.06,4,5,1,9743,9.18
1.06,5,5,1,9302,9.14
1.07,6,3,1,8945,9.1
1.1,5,5,1,9646,9.17
0.18,3,2,2,823,6.71
0.18,3,3,2,765,6.64
0.18,4,1,2,803,6.69
0.18,4,1,2,803,6.69
0.18,4,3,2,705,6.56
0.18,5,1,2,725,6.59
0.19,1,3,2,967,6.87
0.19,2,1,2,1050,6.96
0.19,3,1,2,967,6.87
0.19,3,2,2,863,6.76
0.19,3,3,2,800,6.68
0.19,4,1,2,842,6.74
0.19,4,2,2,800,6.68
0.19,5,1,2,758,6.63
0.2,1,4,2,880,6.78
0.2,4,1,2,880,6.78
0.2,4,4,2,705,6.56
0.2,4,5,2,638,6.46
0.21,1,4,2,919,6.82
0.21,2,1,2,1149,7.05
0.21,3,1,2,1057,6.96
0.21,4,1,2,919,6.82
0.22,2,1,2,1198,7.09
0.23,2,1,2,1248,7.13
0.23,3,1,2,1147,7.04
0.23,4,1,2,995,6.9
0.24,5,1,2,1108,7.01
0.25,3,1,2,1485,7.3
0.25,4,1,2,1283,7.16
0.25,5,1,2,1149,7.05
0.25,6,1,2,1082,6.99
0.26,3,1,2,1539,7.34
0.26,3,2,2,1365,7.22
0.26,3,3,2,1260,7.14
0.26,6,1,2,1121,7.02
0.27,3,1,2,1595,7.37
0.27,5,1,2,1233,7.12
0.28,6,1,2,1199,7.09
0.29,4,1,2,1471,7.29
0.29,6,1,2,1238,7.12
0.3,2,3,2,1580,7.37
0.3,3,3,2,1459,7.29
0.3,4,2,2,1459,7.29
0.3,5,3,2,1218,7.1
0.3,6,1,2,1299,7.17
0.31,2,3,2,1628,7.4
0.31,3,2,2,1628,7.4
0.31,6,1,2,1337,7.2
0.32,5,1,2,1462,7.29
0.33,5,1,2,1503,7.32
0.34,3,2,2,1773,7.48
0.34,3,3,2,1636,7.4
0.35,3,2,2,1821,7.51
0.35,4,3,2,1540,7.34
0.4,4,1,2,2276,7.73
0.41,6,2,2,1616,7.39
0.41,6,3,2,1506,7.32
0.47,3,3,2,2651,7.88
0.48,3,4,2,2383,7.78
0.5,4,1,2,3652,8.2
0.51,2,3,2,3722,8.22
0.51,3,2,2,3722,8.22
0.52,6,1,2,3095,8.04
0.55,3,3,2,3706,8.22
0.56,2,3,2,4070,8.31
0.56,4,3,2,3470,8.15
0.58,2,2,2,4831,8.48
0.58,3,2,2,4209,8.34
0.58,4,2,2,3821,8.25
0.7,4,2,2,5607,8.63
0.7,4,3,2,5326,8.58
0.71,1,4,2,6160,8.73
0.76,3,3,2,6095,8.72
0.78,4,3,2,5937,8.69
1,5,3,2,9342,9.14
1.01,4,4,2,9713,9.18
1.01,5,5,2,8873,9.09
1.01,6,4,2,8175,9.01
0.5,3,2,3,3778,8.24
0.5,4,2,3,3432,8.14
0.51,3,2,3,3851,8.26
0.52,2,5,3,3346,8.12
0.52,5,2,3,3130,8.05
0.53,3,2,3,3995,8.29
0.53,3,3,3,3701,8.22
0.55,4,3,3,3529,8.17
0.56,3,4,3,3667,8.21
0.56,3,5,3,3202,8.07
0.57,3,5,3,3256,8.09
0.57,5,2,3,3415,8.14
0.58,5,1,3,3792,8.24
0.6,4,4,3,3925,8.28
0.6,4,5,3,3421,8.14
0.6,5,2,3,3925,8.28
0.61,5,3,3,3616,8.19
0.62,6,3,3,3615,8.19
0.64,5,3,3,3785,8.24
0.65,6,3,3,3643,8.2
0.66,5,2,3,4300,8.37
0.7,2,2,3,6867,8.83
0.7,2,3,3,6285,8.75
0.7,4,2,3,5800,8.67
0.7,4,3,3,5510,8.61
0.7,5,5,3,4346,8.38
0.71,4,1,3,6372,8.76
0.71,5,3,3,5193,8.56
0.72,5,2,3,5662,8.64
0.73,3,5,3,5333,8.58
0.73,4,2,3,6041,8.71
0.74,5,2,3,5815,8.67
0.8,3,1,3,8611,9.06
0.8,3,4,3,6905,8.84
0.8,4,3,3,6905,8.84
0.8,5,3,3,6416,8.77
0.8,5,4,3,6051,8.71
0.81,2,2,3,8715,9.07
0.81,2,5,3,6988,8.85
0.81,3,4,3,6988,8.85
0.81,4,4,3,6495,8.78
0.81,5,1,3,7358,8.9
0.82,3,5,3,6572,8.79
0.82,4,3,3,7072,8.86
0.85,3,2,3,8359,9.03
0.85,3,5,3,6805,8.83
0.85,4,2,3,7711,8.95
0.86,5,5,3,5835,8.67
1,1,3,3,13775,9.53
1,2,2,3,14051,9.55
1,2,3,3,11419,9.34
1,2,4,3,10588,9.27
1,3,2,3,11696,9.37
1,3,3,3,10588,9.27
1,4,2,3,10450,9.25
1,4,3,3,9896,9.2
1,4,5,3,9203,9.13
1,5,2,3,9480,9.16
1,5,4,3,9065,9.11
1,5,5,3,8788,9.08
1,6,2,3,8788,9.08
1,6,3,3,8372,9.03
1,6,4,3,8095,9
1,6,5,3,7818,8.96
1.01,1,3,3,13909,9.54
1.01,2,3,3,11531,9.35
1.01,2,4,3,10692,9.28
1.01,3,2,3,11811,9.38
1.01,3,4,3,10272,9.24
1.01,4,3,3,9993,9.21
1.01,4,5,3,9293,9.14
1.01,5,3,3,9433,9.15
1.01,5,4,3,9153,9.12
1.01,6,2,3,8873,9.09
1.01,6,4,3,8175,9.01
1.02,3,3,3,10796,9.29
1.06,5,3,3,9890,9.2
1.02,5,5,3,8959,9.1
1.09,6,3,3,9107,9.12
